#Id Score P-value
2939 1.000000 0.0
2941 0.690422 0.0
4780 0.578721 0.0
1576 0.565806 0.0
1728 0.564363 0.0
2938 0.539277 0.0
27306 0.533133 0.0
130813 0.272829 0.0001441
6482 0.209936 0.0002184
7975 0.116739 0.0046535
9603 0.102717 0.0050123
5583 0.100018 0.0050123
23764 0.098581 0.019306
571 0.097093 0.019306
4097 0.096460 0.019306
8507 0.096069 0.019306
9451 0.095083 0.019306
6942 0.094390 0.019306
2710 0.093331 0.019306
834 0.093249 0.019306
4778 0.092556 0.019306
5588 0.092129 0.019306
11243 0.092101 0.019306
100527963 0.092101 0.019306
5582 0.091564 0.019306
5578 0.091507 0.019306
84268 0.090847 0.019306
51322 0.090680 0.019306
196 0.090309 0.019306
468 0.090274 0.019306
84181 0.090101 0.019306
9817 0.089918 0.195732
5580 0.089903 0.195732
10488 0.089864 0.195732
3839 0.089081 0.195732
7138 0.088851 0.195732
2932 0.088834 0.195732
5914 0.088770 0.195732
836 0.088760 0.195732
10155 0.088755 0.195732
8878 0.088730 0.195732
6613 0.088703 0.195732
7341 0.088627 0.195732
8945 0.088620 0.195732
8805 0.088575 0.195732
6233 0.088569 0.195732
1387 0.088548 0.195732
7311 0.088394 0.195732
27316 0.088278 0.195732
132 0.088176 0.195732
10273 0.087417 0.195732
10857 0.086196 0.195732
267 0.085231 0.195732
5566 0.084631 0.195732
3912 0.084533 0.195732
2353 0.084254 0.195732
8939 0.084200 0.195732
84271 0.084169 0.195732
54915 0.083927 0.195732
4830 0.083870 0.195732
26528 0.083721 0.195732
2805 0.083672 0.195732
7157 0.083548 0.195732
93144 0.083168 0.195732
6223 0.082850 0.195732
79644 0.073307 0.4796963
55270 0.071291 0.4796963
3101 0.070026 0.4796963
4241 0.069617 0.8929987
9446 0.065686 0.8929987
27258 0.064225 0.8929987
60468 0.064185 0.8929987
5516 0.062296 0.8929987
7329 0.061520 0.8929987
2130 0.060871 0.8929987
7531 0.060518 0.8929987
2033 0.059343 0.9828198
1956 0.059245 0.9828198
672 0.059176 0.9828198
81926 0.059006 0.9828198
23598 0.058964 0.9828198
7316 0.058828 0.9828198
