#Id Score P-value
5409 1.0 0.0
56157 0.891465 7.52e-05
1821 0.5393 7.52e-05
145226 0.433802 7.52e-05
8403 0.417894 0.0002907
54386 0.406235 0.0002907
1413 0.399593 0.0002907
149420 0.3812 0.0002907
1361 0.361902 0.0002907
100134934 0.343901 0.0004379
128710 0.324949 0.0005117
8574 0.322134 0.0005117
120224 0.320204 0.0005117
79693 0.309795 0.0005117
5098 0.307047 0.0005117
7013 0.30048 0.0005117
92002 0.292935 0.0005117
154664 0.289492 0.0005117
1412 0.276555 0.0005117
9942 0.276304 0.0005117
26277 0.249772 0.0005117
22879 0.245579 0.0005117
3554 0.243425 0.0005117
80169 0.238361 0.0005868
65057 0.234483 0.0005868
25913 0.233545 0.0005868
10799 0.232556 0.0005868
684 0.231263 0.0005868
1411 0.228721 0.0005868
170591 0.228721 0.0005868
8817 0.220833 0.0005868
7014 0.217625 0.0008074
10654 0.217275 0.0008074
4521 0.211722 0.0008074
83874 0.206859 0.0009511
147945 0.192808 0.0009511
1200 0.18289 0.0010987
26119 0.182472 0.0010987
1366 0.179111 0.001309
64396 0.177445 0.001309
83451 0.175971 0.001309
2571 0.174109 0.001309
10039 0.172986 0.001309
116113 0.17273 0.001309
79763 0.171892 0.001309
5596 0.170128 0.001309
916 0.165834 0.0017514
84988 0.165716 0.0017514
126364 0.163726 0.0017514
79991 0.160533 0.0017514
221264 0.159634 0.0018977
200316 0.157564 0.0018977
376267 0.155608 0.0018977
90507 0.152689 0.0018977
122622 0.15189 0.0018977
653145 0.151526 0.0018977
728113 0.151526 0.0018977
200895 0.148218 0.0021938
161253 0.148218 0.0021938
26716 0.148218 0.0021938
9715 0.148214 0.0021938
388536 0.147722 0.0021938
3713 0.146068 0.0021938
29094 0.145617 0.0021938
27348 0.145575 0.0021938
100131017 0.145386 0.0021938
4951 0.145099 0.0021938
160140 0.144827 0.0021938
7705 0.144261 0.0021938
116224 0.144261 0.0021938
50810 0.144261 0.0021938
64858 0.143411 0.0021938
115861 0.141388 0.0021938
6444 0.141 0.0021938
84632 0.140107 0.0021938
29992 0.139119 0.0026306
64852 0.138822 0.0026306
51411 0.138361 0.0026306
26093 0.138361 0.0026306
64395 0.137928 0.0026306
22977 0.137314 0.0026306
27283 0.136969 0.0026306
9905 0.135757 0.0026306
55276 0.134948 0.0026306
5514 0.134308 0.0026306
57716 0.134065 0.0026306
3897 0.133938 0.0026306
1427 0.133789 0.0026306
4552 0.133761 0.0026306
5121 0.133672 0.0026306
55531 0.133281 0.0026306
6819 0.132971 0.0026306
1414 0.132937 0.0026306
203569 0.132679 0.0026306
246744 0.132673 0.0026306
10551 0.132186 0.0026306
3557 0.131966 0.0026306
391634 0.131295 0.0026306
66002 0.131212 0.0026306
79008 0.130381 0.0026306
548593 0.130381 0.0026306
3081 0.130173 0.0026306
203245 0.129725 0.0033476
6666 0.129231 0.0033476
1812 0.128676 0.0033476
8226 0.128486 0.0033476
3212 0.128076 0.0033476
8867 0.126874 0.0033476
6532 0.126593 0.0033476
126306 0.126539 0.0033476
64897 0.126539 0.0033476
128646 0.126539 0.0033476
6011 0.126321 0.0033476
203 0.126207 0.0033476
4143 0.126174 0.0033476
165904 0.126118 0.0033476
23498 0.125718 0.0033476
25780 0.125695 0.0033476
55915 0.125663 0.0033476
3620 0.125485 0.0033476
10626 0.125427 0.0033476
3460 0.125128 0.0033476
56963 0.12465 0.0033476
54977 0.124236 0.0033476
9293 0.124222 0.0033476
90737 0.124222 0.0033476
10223 0.124222 0.0033476
57834 0.124222 0.0033476
254295 0.124222 0.0033476
10634 0.124222 0.0033476
339804 0.124222 0.0033476
64080 0.124163 0.0033476
441273 0.124092 0.0033476
4501 0.123778 0.0033476
51097 0.123502 0.0033476
2169 0.123337 0.0033476
57179 0.122822 0.0033476
4504 0.122755 0.0033476
