#Id Score P-value
1586 1.000000 0.0
6794 0.975099 0.0
5563 0.950677 0.0
3667 0.931401 0.0
6517 0.902645 0.0
5327 0.878875 0.0
3952 0.877363 0.0
6580 0.857424 0.0
5274 0.842053 0.0
1036 0.523565 0.0002191
91151 0.370136 0.0007257
23017 0.362024 0.0007257
384 0.362024 0.0007257
54861 0.362024 0.0007257
126526 0.339737 0.0010888
153443 0.266601 0.0016765
56034 0.264494 0.0016765
114790 0.261083 0.0016765
728294 0.259372 0.0018296
56033 0.257445 0.0018296
57026 0.252112 0.0018296
4536 0.251880 0.0018296
347240 0.248284 0.0022522
514 0.244722 0.0022522
84268 0.235286 0.0023924
92335 0.225390 0.003036
4485 0.213713 0.0034683
2147 0.206574 0.0039797
79142 0.204010 0.0039797
4139 0.203836 0.0039797
55437 0.192668 0.0054227
102724428 0.191255 0.0054227
150094 0.191255 0.0054227
5650 0.187879 0.0087669
9407 0.187035 0.0087669
51094 0.185261 0.0087669
11180 0.183001 0.0087669
29122 0.182459 0.0087669
6482 0.180852 0.0087669
4892 0.180282 0.0087669
8555 0.179852 0.0160628
25803 0.179682 0.0160628
4338 0.178705 0.0160628
1539 0.174605 0.0160628
57402 0.172987 0.0160628
7743 0.172634 0.0160628
27076 0.171997 0.0160628
27248 0.171186 0.0160628
23424 0.168623 0.0214392
84307 0.167525 0.0214392
23221 0.165999 0.0214392
22869 0.165965 0.0214392
10 0.165706 0.0214392
6768 0.165682 0.0214392
10076 0.165675 0.0214392
8789 0.165443 0.0214392
22843 0.165281 0.0214392
51531 0.163137 0.0214392
55014 0.162446 0.0214392
7069 0.161678 0.0214392
7111 0.161604 0.0214392
25970 0.160778 0.0214392
229 0.160168 0.0214392
2118 0.159033 0.024554
23513 0.158031 0.024554
5054 0.157454 0.024554
3486 0.155779 0.024554
6198 0.155219 0.024554
283971 0.154655 0.024554
3480 0.154313 0.024554
55773 0.152488 0.024554
5268 0.150792 0.024554
2203 0.150552 0.024554
5921 0.150395 0.024554
51176 0.149983 0.0302119
7867 0.149913 0.0302119
7507 0.149307 0.0302119
2011 0.148505 0.0302119
54828 0.148318 0.0302119
57820 0.148072 0.0302119
5604 0.147457 0.0302119
5564 0.147309 0.0302119
23646 0.146833 0.0302119
10382 0.146721 0.0302119
3265 0.146696 0.0302119
56288 0.146552 0.0302119
5516 0.146125 0.0302119
51719 0.145882 0.0302119
54187 0.145634 0.0302119
57787 0.145385 0.0302119
5795 0.144582 0.0302119
10541 0.143973 0.0302119
1508 0.143776 0.0302119
1408 0.143105 0.0302119
2064 0.141642 0.0302119
999 0.141134 0.0302119
79155 0.141121 0.0302119
2888 0.140871 0.0302119
256646 0.140764 0.0302119
58529 0.140689 0.0302119
808 0.140679 0.0302119
805 0.140679 0.0302119
284252 0.140659 0.0302119
5571 0.140625 0.0302119
801 0.140581 0.0302119
5728 0.140531 0.0302119
1073 0.140031 0.0302119
8428 0.139845 0.0386787
7957 0.139070 0.0386787
57521 0.138997 0.0386787
6944 0.138981 0.0386787
382 0.138918 0.0386787
5562 0.138888 0.0386787
2735 0.138848 0.0386787
1917 0.138741 0.0386787
7706 0.138017 0.0386787
10513 0.137889 0.0386787
10007 0.137754 0.0386787
222546 0.137480 0.0386787
9113 0.137327 0.0386787
7064 0.136883 0.0386787
207 0.136385 0.0386787
9100 0.136194 0.0386787
3164 0.135413 0.0386787
57594 0.135147 0.0386787
8660 0.135119 0.0386787
8412 0.135031 0.0386787
57326 0.135021 0.0386787
10891 0.134886 0.0386787
22919 0.134855 0.0386787
10801 0.134839 0.0386787
9266 0.134740 0.0386787
11200 0.134652 0.0386787
25843 0.134498 0.0386787
3033 0.134400 0.0386787
79618 0.134047 0.0386787
7251 0.134044 0.0386787
7846 0.133967 0.0386787
51343 0.133467 0.0386787
324 0.133056 0.0386787
4914 0.132743 0.0386787
81628 0.132352 0.0386787
7534 0.132209 0.0386787
7530 0.132209 0.0386787
780 0.132196 0.0386787
23411 0.131932 0.0386787
84456 0.131535 0.0386787
3643 0.131527 0.0386787
5565 0.131478 0.0386787
11059 0.131428 0.0386787
127557 0.131200 0.0386787
653121 0.131200 0.0386787
6293 0.130873 0.0386787
388677 0.130820 0.0386787
100996717 0.130820 0.0386787
100996763 0.130820 0.0386787
5336 0.130777 0.0386787
3716 0.130718 0.0386787
54550 0.130595 0.0386787
2353 0.130572 0.0386787
7322 0.130544 0.0386787
10146 0.130483 0.0386787
3717 0.130259 0.0386787
7020 0.129778 0.0624994
6925 0.129676 0.0624994
3881 0.129560 0.0624994
10152 0.129497 0.0624994
4841 0.129410 0.0624994
3801 0.129139 0.0624994
386682 0.129117 0.0624994
11030 0.129105 0.0624994
7329 0.128741 0.0624994
7205 0.128661 0.0624994
166 0.128653 0.0624994
83878 0.128328 0.0624994
5295 0.128063 0.0624994
22938 0.128003 0.0624994
5781 0.127985 0.0624994
672 0.127845 0.0624994
7965 0.127804 0.0624994
887 0.127637 0.0624994
5296 0.127144 0.0624994
5717 0.126770 0.0624994
3326 0.126364 0.0624994
5770 0.125437 0.0624994
8503 0.124505 0.0624994
5747 0.124485 0.0624994
57162 0.124097 0.0624994
8650 0.123463 0.0624994
2475 0.123258 0.0624994
5580 0.122730 0.0624994
26260 0.122290 0.0624994
1956 0.121398 0.0624994
55023 0.120755 0.0624994
5599 0.120740 0.0624994
7531 0.120389 0.0624994
2885 0.120085 0.0624994
57127 0.119379 0.1088986
3066 0.115370 0.1088986
3053 0.114990 0.1088986
3953 0.114461 0.1088986
1616 0.113727 0.1088986
3101 0.110262 0.1088986
9856 0.109075 0.2161773
83401 0.107260 0.2161773
2702 0.104269 0.2161773
9214 0.104080 0.2161773
279 0.100542 0.2161773
8577 0.097047 0.4214519
100526694 0.097047 0.4214519
2867 0.094828 0.4214519
7940 0.094709 0.4214519
3293 0.093989 0.4214519
80328 0.093772 0.4214519
23314 0.093714 0.4214519
84909 0.093134 0.4214519
3223 0.090864 0.4214519
886 0.090344 0.4214519
3146 0.090032 0.4214519
150962 0.089855 0.6598027
158427 0.089708 0.6598027
148014 0.089029 0.6598027
400745 0.089029 0.6598027
1185 0.089029 0.6598027
118430 0.089029 0.6598027
29956 0.089012 0.6598027
23401 0.087927 0.6598027
6424 0.087834 0.6598027
26269 0.087685 0.6598027
3811 0.086600 0.6598027
2667 0.086600 0.6598027
570 0.086245 0.6598027
3479 0.085753 0.6598027
54741 0.085581 0.6598027
54897 0.085512 0.6598027
5535 0.085486 0.6598027
23387 0.085224 0.6598027
9687 0.085129 0.6598027
91283 0.084981 0.6598027
6423 0.084748 0.6598027
25818 0.084647 0.6598027
3993 0.084442 0.6598027
885 0.084310 0.6598027
23550 0.084273 0.6598027
84254 0.084144 0.6598027
51335 0.083986 0.6598027
3822 0.083710 0.6598027
79695 0.083633 0.6598027
51196 0.083261 0.6598027
56660 0.083218 0.6598027
26035 0.083018 0.6598027
7464 0.082911 0.6598027
1515 0.082618 0.6598027
94240 0.082418 0.6598027
2938 0.082343 0.6598027
266747 0.082337 0.6598027
23179 0.082337 0.6598027
3598 0.082225 0.6598027
3235 0.082088 0.6598027
966 0.082030 0.6598027
284366 0.081889 0.6598027
4360 0.081545 0.6598027
10603 0.081525 0.6598027
27122 0.081418 0.6598027
157638 0.081012 0.6598027
200958 0.080707 0.6598027
126374 0.080628 0.6598027
96459 0.080489 0.6598027
9077 0.080308 0.6598027
10942 0.080286 0.6598027
54942 0.080162 0.6598027
92304 0.080057 0.6598027
9783 0.079979 0.8602892
388753 0.079317 0.8602892
5670 0.079229 0.8602892
55714 0.079229 0.8602892
58486 0.079229 0.8602892
10952 0.079127 0.8602892
9902 0.079007 0.8602892
80760 0.078997 0.8602892
4241 0.078780 0.8602892
414899 0.078644 0.8602892
2312 0.078567 0.8602892
8938 0.078451 0.8602892
55363 0.078434 0.8602892
7040 0.078339 0.8602892
432395 0.078282 0.8602892
25984 0.078282 0.8602892
720 0.078282 0.8602892
84085 0.078282 0.8602892
721 0.078282 0.8602892
100293534 0.078282 0.8602892
64236 0.078273 0.8602892
201163 0.078269 0.8602892
9530 0.078174 0.8602892
55859 0.078168 0.8602892
11006 0.077905 0.8602892
89858 0.077905 0.8602892
115653 0.077905 0.8602892
3804 0.077905 0.8602892
100132285 0.077905 0.8602892
84174 0.077754 0.8602892
4795 0.077678 0.8602892
11009 0.077437 0.8602892
7056 0.077381 0.8602892
79899 0.077226 0.8602892
81788 0.077181 0.8602892
4046 0.077112 0.8602892
8651 0.077020 0.8602892
25759 0.076992 0.8602892
54206 0.076848 0.8602892
2322 0.076742 0.8602892
2119 0.076733 0.8602892
1012 0.076670 0.8602892
10116 0.076643 0.8602892
203523 0.076403 0.8602892
7579 0.076403 0.8602892
27030 0.076329 0.8602892
7010 0.076046 0.8602892
8036 0.075995 0.8602892
29893 0.075908 0.8602892
2219 0.075897 0.8602892
8483 0.075897 0.8602892
1001 0.075722 0.8602892
4987 0.075685 0.8602892
1474 0.075644 0.8602892
2057 0.075361 0.8602892
5791 0.075248 0.8602892
91608 0.075042 0.8602892
3484 0.074809 0.8602892
2176 0.074761 0.8602892
51422 0.074671 0.8602892
5368 0.074642 0.8602892
10395 0.074596 0.8602892
5128 0.074557 0.8602892
3802 0.074555 0.8602892
7006 0.074549 0.8602892
9180 0.074507 0.8602892
10870 0.074499 0.8602892
6539 0.074395 0.8602892
4163 0.074230 0.8602892
26034 0.074126 0.8602892
130340 0.074082 0.8602892
222826 0.074069 0.8602892
64411 0.074069 0.8602892
64902 0.073954 0.8602892
50863 0.073954 0.8602892
3560 0.073859 0.8602892
660 0.073846 0.8602892
5787 0.073813 0.8602892
7294 0.073771 0.8602892
238 0.073638 0.8602892
6004 0.073566 0.8602892
3458 0.073529 0.8602892
84951 0.073455 0.8602892
5157 0.073442 0.8602892
221527 0.073366 0.8602892
200186 0.073328 0.8602892
4233 0.073243 0.8602892
79109 0.073130 0.8602892
4915 0.073034 0.8602892
10451 0.073029 0.8602892
699 0.072951 0.8602892
92305 0.072932 0.8602892
10457 0.072770 0.8602892
8404 0.072721 0.8602892
5793 0.072645 0.8602892
197342 0.072606 0.8602892
64427 0.072606 0.8602892
84264 0.072606 0.8602892
338596 0.072606 0.8602892
117159 0.072521 0.8602892
643535 0.072440 0.8602892
79729 0.072440 0.8602892
131566 0.072440 0.8602892
152189 0.072440 0.8602892
23007 0.072440 0.8602892
1299 0.072440 0.8602892
2549 0.072403 0.8602892
155465 0.072399 0.8602892
10019 0.072345 0.8602892
10307 0.072251 0.8602892
2264 0.072229 0.8602892
7097 0.072210 0.8602892
2697 0.072193 0.8602892
399694 0.072122 0.8602892
6098 0.072118 0.8602892
205147 0.072105 0.8602892
6352 0.072083 0.8602892
1796 0.071979 0.8602892
2013 0.071958 0.8602892
60676 0.071895 0.8602892
7305 0.071875 0.8602892
5800 0.071829 0.8602892
8313 0.071718 0.8602892
8493 0.071651 0.8602892
8613 0.071644 0.8602892
5159 0.071599 0.8602892
4893 0.071436 0.8602892
3909 0.071417 0.8602892
55777 0.071377 0.8602892
685 0.071345 0.8602892
10653 0.071256 0.8602892
1154 0.071218 0.8602892
51209 0.071205 0.8602892
10045 0.071190 0.8602892
4595 0.071122 0.8602892
8835 0.071096 0.8602892
220164 0.071076 0.8602892
3815 0.071076 0.8602892
5788 0.071066 0.8602892
4052 0.071061 0.8602892
4486 0.071014 0.8602892
192683 0.070991 0.8602892
6503 0.070974 0.8602892
2185 0.070946 0.8602892
140597 0.070915 0.8602892
5653 0.070834 0.8602892
2887 0.070812 0.8602892
22937 0.070774 0.8602892
657 0.070740 0.8602892
